URL,Current Canonical,Correct Canonical,Action
https://hammondproperties.com.au/listings/,https://hammondproperties.com.au/,https://hammondproperties.com.au/listings/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/,https://hammondproperties.com.au/,https://hammondproperties.com.au/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/yollys-cottage,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/yollys-cottage,UPDATE CANONICAL TAG
https://hammondproperties.com.au/contact,https://hammondproperties.com.au/,https://hammondproperties.com.au/contact,UPDATE CANONICAL TAG
https://hammondproperties.com.au/listing/,https://hammondproperties.com.au/,https://hammondproperties.com.au/listing/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/blog/,https://hammondproperties.com.au/,https://hammondproperties.com.au/blog/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/contact/,https://hammondproperties.com.au/,https://hammondproperties.com.au/contact/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/south-gateway,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/south-gateway,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/bella-views,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/bella-views,UPDATE CANONICAL TAG
https://hammondproperties.com.au/property/,https://hammondproperties.com.au/,https://hammondproperties.com.au/property/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/secret-beaches-coastal-walks,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/secret-beaches-coastal-walks,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/origami-coffee-the-local-institution,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/origami-coffee-the-local-institution,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/high-tide-studio,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/high-tide-studio,UPDATE CANONICAL TAG
https://hammondproperties.com.au/rooms/,https://hammondproperties.com.au/,https://hammondproperties.com.au/rooms/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/27-mirrabooka-rd,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/27-mirrabooka-rd,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/fishing-charters,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/fishing-charters,UPDATE CANONICAL TAG
https://hammondproperties.com.au/about/,https://hammondproperties.com.au/,https://hammondproperties.com.au/about/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/rates/,https://hammondproperties.com.au/,https://hammondproperties.com.au/rates/,UPDATE CANONICAL TAG
https://hammondproperties.com.au/discover-mallacoota/complete-restaurant-guide,https://hammondproperties.com.au/,https://hammondproperties.com.au/discover-mallacoota/complete-restaurant-guide,UPDATE CANONICAL TAG
https://hammondproperties.com.au/properties/lacys-place,https://hammondproperties.com.au/,https://hammondproperties.com.au/properties/lacys-place,UPDATE CANONICAL TAG
