URL,Status Code,Primary Issue,All Issues,Word Count,Title,Meta Description,Canonical,Redirect To
https://hammondproperties.com.au/listings/,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/,200,Soft 404,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/properties/yollys-cottage,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/contact,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/listing/,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/assets/ui-C0Pb7tId.js,200,Duplicate without user-selected canonical,"Missing canonical tag, Missing title tag, Missing meta description",1488,Missing,Missing,Missing,
https://hammondproperties.com.au/blog/,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/contact/,200,Alternate page with proper canonical tag,Possible soft 404 (thin content),10,Mallacoota Holiday Rentals | Luxury Waterfront Homes | Hammond Properties,"Experience Mallacoota's finest holiday homes. Waterfront luxury properties with premium amenities, pet-friendly options, personal concierge. ⭐ 500+ 5-star revie",https://hammondproperties.com.au/,
https://hammondproperties.com.au/site.webmanifest,200,Duplicate without user-selected canonical,"Missing canonical tag, Possible soft 404 (thin content), Missing title tag, Missing meta description",37,Missing,Missing,Missing,
https://hammondproperties.com.au/assets/utils-B48d1J-u.js,200,Duplicate without user-selected canonical,"Missing canonical tag, Missing title tag, Missing meta description",2633,Missing,Missing,Missing,
